Course Report:
Module Name: Introduction to Programming, Programme: Business, Enrolled Students: 1, Lecturer: William Martinez, Room: Online
Module Name: Introduction to Programming, Programme: Physics, Enrolled Students: 1, Lecturer: Jennifer Davis, Room: 101A
Module Name: Organic Chemistry, Programme: Engineering, Enrolled Students: 0, Lecturer: Charles Martinez, Room: 101A
Module Name: Organic Chemistry, Programme: History, Enrolled Students: 1, Lecturer: Karen Johnson, Room: 103A
Module Name: Microeconomics, Programme: Biology, Enrolled Students: 2, Lecturer: Mary Johnson, Room: 102A
Module Name: Physics 101, Programme: Computer Science, Enrolled Students: 0, Lecturer: Thomas Martinez, Room: 102B
Module Name: Microeconomics, Programme: Engineering, Enrolled Students: 1, Lecturer: James Williams, Room: 102B
Module Name: Introduction to Programming, Programme: Chemistry, Enrolled Students: 1, Lecturer: Joseph Lopez, Room: 103A
Module Name: Introduction to Programming, Programme: English Literature, Enrolled Students: 0, Lecturer: Thomas Martinez, Room: 101B
Module Name: Literature and Composition, Programme: History, Enrolled Students: 0, Lecturer: David Williams, Room: 102A
Module Name: Organic Chemistry, Programme: Art, Enrolled Students: 1, Lecturer: Charles Anderson, Room: 101A
Module Name: Advanced Mathematics, Programme: Engineering, Enrolled Students: 2, Lecturer: Barbara Moore, Room: 102A
Module Name: Literature and Composition, Programme: Business, Enrolled Students: 0, Lecturer: Jennifer Johnson, Room: 102A
Module Name: Microeconomics, Programme: Engineering, Enrolled Students: 2, Lecturer: Charles Hernandez, Room: 101B
Module Name: Organic Chemistry, Programme: Engineering, Enrolled Students: 2, Lecturer: Linda Garcia, Room: 102B
Module Name: Microeconomics, Programme: English Literature, Enrolled Students: 1, Lecturer: Charles Rodriguez, Room: 101A
Module Name: Organic Chemistry, Programme: Mathematics, Enrolled Students: 1, Lecturer: Karen Jones, Room: 101A
Module Name: Statistics, Programme: Mathematics, Enrolled Students: 3, Lecturer: Barbara Moore, Room: 102A
Module Name: Introduction to Programming, Programme: Physics, Enrolled Students: 1, Lecturer: Sarah Taylor, Room: 101A
Module Name: World History, Programme: Engineering, Enrolled Students: 1, Lecturer: Barbara Anderson, Room: 101B
Module Name: Organic Chemistry, Programme: Biology, Enrolled Students: 1, Lecturer: William Miller, Room: 102A
Module Name: Organic Chemistry, Programme: English Literature, Enrolled Students: 0, Lecturer: Charles Hernandez, Room: Online
Module Name: Macroeconomics, Programme: Engineering, Enrolled Students: 0, Lecturer: Robert Smith, Room: 101A
Module Name: Physics 101, Programme: Physics, Enrolled Students: 2, Lecturer: Barbara Gonzalez, Room: 102A
Module Name: Statistics, Programme: Engineering, Enrolled Students: 1, Lecturer: Richard Davis, Room: 102B
Module Name: Microeconomics, Programme: Biology, Enrolled Students: 1, Lecturer: William Rodriguez, Room: 102A
Module Name: Physics 101, Programme: English Literature, Enrolled Students: 1, Lecturer: Charles Jackson, Room: 103A
Module Name: World History, Programme: Art, Enrolled Students: 2, Lecturer: Barbara Hernandez, Room: 101B
Module Name: Physics 101, Programme: Physics, Enrolled Students: 1, Lecturer: Joseph Martinez, Room: 102A
Module Name: Advanced Mathematics, Programme: English Literature, Enrolled Students: 0, Lecturer: James Davis, Room: 102A
Module Name: Microeconomics, Programme: Chemistry, Enrolled Students: 1, Lecturer: Mary Moore, Room: Online
Module Name: Microeconomics, Programme: Engineering, Enrolled Students: 2, Lecturer: Sarah Thomas, Room: 102A
Module Name: Literature and Composition, Programme: Physics, Enrolled Students: 1, Lecturer: Barbara Thomas, Room: 101B
Module Name: Organic Chemistry, Programme: Engineering, Enrolled Students: 2, Lecturer: Joseph Rodriguez, Room: 102B
Module Name: Linear Algebra, Programme: Chemistry, Enrolled Students: 0, Lecturer: Charles Martinez, Room: Online
Module Name: Advanced Mathematics, Programme: Physics, Enrolled Students: 0, Lecturer: Michael Martin, Room: Online
Module Name: Literature and Composition, Programme: Business, Enrolled Students: 1, Lecturer: Barbara Moore, Room: Online
Module Name: Macroeconomics, Programme: Business, Enrolled Students: 1, Lecturer: Sarah Taylor, Room: Online
Module Name: World History, Programme: Biology, Enrolled Students: 2, Lecturer: James Thomas, Room: 102A
Module Name: Advanced Mathematics, Programme: English Literature, Enrolled Students: 3, Lecturer: Karen Thomas, Room: 101A
Module Name: Macroeconomics, Programme: History, Enrolled Students: 2, Lecturer: Jennifer Davis, Room: 102B
Module Name: World History, Programme: Physics, Enrolled Students: 0, Lecturer: Elizabeth Taylor, Room: Online
Module Name: Microeconomics, Programme: Business, Enrolled Students: 1, Lecturer: Susan Taylor, Room: 102B
Module Name: Organic Chemistry, Programme: Chemistry, Enrolled Students: 1, Lecturer: David Moore, Room: 101A
Module Name: Physics 101, Programme: Computer Science, Enrolled Students: 2, Lecturer: James Williams, Room: 101B
Module Name: Advanced Mathematics, Programme: Computer Science, Enrolled Students: 5, Lecturer: Linda Martin, Room: Online
Module Name: Introduction to Programming, Programme: Biology, Enrolled Students: 0, Lecturer: Joseph Lopez, Room: 102B
Module Name: Statistics, Programme: Biology, Enrolled Students: 1, Lecturer: Charles Anderson, Room: 102A
Module Name: Microeconomics, Programme: Art, Enrolled Students: 0, Lecturer: William Martinez, Room: 101A
